City,State,Year,SeasonWidth,20%,40%,60%,80%
Alameda,California,2011,150.1,0.019986675549633577,-0.02664890073284477,-0.013324450366422385,-0.039973351099267154
Alameda,California,2012,150.1,-0.02664890073284477,-0.019986675549633577,0.02664890073284477,-0.04663557628247835
Alameda,California,2013,150.1,0.039973351099267154,0.02664890073284477,0.006662225183211193,-0.02664890073284477
Alameda,California,2014,150.1,0.0,0.0,-0.033311125916055964,-0.11992005329780148
Alameda,California,2015,150.1,0.07994670219853431,0.07328447701532312,0.04663557628247835,0.013324450366422385
Alameda,California,2016,150.1,0.033311125916055964,0.019986675549633577,-0.019986675549633577,-0.08660892738174551
Alameda,California,2017,150.1,-0.039973351099267154,-0.02664890073284477,-0.09993337774816789,-0.2598267821452365
Alameda,California,2018,150.1,-0.006662225183211193,-0.006662225183211193,0.0,-0.08660892738174551
Alameda,California,2019,150.1,,,,
Alameda,California,2020,150.1,,,,
Anthem,Arizona,2011,191.9,0.0,0.010422094841063054,0.005211047420531527,-0.010422094841063054
Anthem,Arizona,2012,191.9,0.020844189682126108,0.020844189682126108,-0.00781657113079729,0.00781657113079729
Anthem,Arizona,2013,191.9,0.033871808233454925,0.03126628452318916,0.0,-0.020844189682126108
Anthem,Arizona,2014,191.9,0.03647733194372069,0.05211047420531527,0.026055237102657634,0.018238665971860343
Anthem,Arizona,2015,191.9,0.010422094841063054,0.020844189682126108,0.020844189682126108,-0.005211047420531527
Anthem,Arizona,2016,191.9,-0.01563314226159458,-0.010422094841063054,-0.018238665971860343,-0.005211047420531527
Anthem,Arizona,2017,191.9,-0.010422094841063054,0.0,0.010422094841063054,0.01563314226159458
Anthem,Arizona,2018,191.9,-0.026055237102657634,-0.020844189682126108,-0.02344971339239187,-0.005211047420531527
Anthem,Arizona,2019,191.9,,,,
Anthem,Arizona,2020,191.9,,,,
Apache Junction,Arizona,2011,201.7,0.00495785820525533,0.002478929102627665,0.002478929102627665,0.0
Apache Junction,Arizona,2012,201.7,0.02974714923153198,0.02974714923153198,0.03966286564204264,-0.027268220128904314
Apache Junction,Arizona,2013,201.7,-0.00495785820525533,-0.017352503718393655,-0.00991571641051066,-0.012394645513138325
Apache Junction,Arizona,2014,201.7,-0.00991571641051066,-0.00991571641051066,-0.01487357461576599,-0.002478929102627665
Apache Junction,Arizona,2015,201.7,-0.00495785820525533,-0.01983143282102132,-0.00495785820525533,-0.00495785820525533
Apache Junction,Arizona,2016,201.7,-0.00991571641051066,-0.012394645513138325,0.007436787307882995,-0.00991571641051066
Apache Junction,Arizona,2017,201.7,-0.02478929102627665,-0.00991571641051066,0.0,-0.02974714923153198
Apache Junction,Arizona,2018,201.7,-0.00495785820525533,-0.012394645513138325,-0.052057511155180966,0.00495785820525533
Apache Junction,Arizona,2019,201.7,,,,
Apache Junction,Arizona,2020,201.7,,,,
Bronx,New York,2011,148.5,0.04040404040404041,0.0,0.013468013468013467,0.006734006734006734
Bronx,New York,2012,148.5,-0.006734006734006734,-0.006734006734006734,-0.020202020202020204,-0.04713804713804714
Bronx,New York,2013,148.5,-0.04040404040404041,-0.026936026936026935,-0.04377104377104377,-0.03367003367003367
Bronx,New York,2014,148.5,-0.020202020202020204,-0.013468013468013467,-0.026936026936026935,0.0
Bronx,New York,2015,148.5,0.0,-0.013468013468013467,-0.013468013468013467,-0.05387205387205387
Bronx,New York,2016,148.5,-0.020202020202020204,-0.020202020202020204,-0.04713804713804714,-0.03367003367003367
Bronx,New York,2017,148.5,-0.03367003367003367,-0.03367003367003367,-0.03367003367003367,-0.04040404040404041
Bronx,New York,2018,148.5,0.013468013468013467,-0.026936026936026935,-0.020202020202020204,-0.020202020202020204
Bronx,New York,2019,148.5,,,,
Bronx,New York,2020,148.5,,,,
Buckeye,Arizona,2011,193.1,0.018125323666494046,0.015535991714137753,0.007767995857068877,-0.002589331952356292
Buckeye,Arizona,2012,193.1,0.0,-0.020714655618850338,-0.028482651475919215,-0.08803728638011393
Buckeye,Arizona,2013,193.1,-0.0336613153806318,-0.018125323666494046,-0.015535991714137753,-0.04660797514241326
Buckeye,Arizona,2014,193.1,0.005178663904712584,0.005178663904712584,-0.02589331952356292,0.031071983428275506
Buckeye,Arizona,2015,193.1,0.041429311237700675,0.02589331952356292,0.010357327809425169,-0.007767995857068877
Buckeye,Arizona,2016,193.1,0.005178663904712584,-0.010357327809425169,0.0,-0.005178663904712584
Buckeye,Arizona,2017,193.1,0.0,-0.005178663904712584,-0.005178663904712584,-0.015535991714137753
Buckeye,Arizona,2018,193.1,-0.005178663904712584,-0.005178663904712584,-0.005178663904712584,-0.005178663904712584
Buckeye,Arizona,2019,193.1,,,,
Buckeye,Arizona,2020,193.1,,,,
Bullhead City,Arizona,2011,195.5,0.028132992327365727,0.02557544757033248,0.005115089514066497,0.45012787723785164
Bullhead City,Arizona,2012,195.5,-0.028132992327365727,-0.030690537084398978,-0.03580562659846547,-0.03580562659846547
Bullhead City,Arizona,2013,195.5,0.07161125319693094,0.056265984654731455,0.0,-0.010230179028132993
Bullhead City,Arizona,2014,195.5,0.010230179028132993,0.03580562659846547,0.03580562659846547,0.020460358056265986
Bullhead City,Arizona,2015,195.5,0.04603580562659847,0.030690537084398978,-0.05115089514066496,0.03580562659846547
Bullhead City,Arizona,2016,195.5,-0.030690537084398978,-0.042625745950554135,0.005115089514066497,0.010230179028132993
Bullhead City,Arizona,2017,195.5,-0.0025575447570332483,-0.010230179028132993,-0.023017902813299233,0.005115089514066497
Bullhead City,Arizona,2018,195.5,0.03836317135549872,-0.005115089514066497,-0.010230179028132993,-0.07161125319693094
Bullhead City,Arizona,2019,195.5,,,,
Bullhead City,Arizona,2020,195.5,,,,
Calhoun,Florida,2011,181.1,0.0,0.0,-0.005521811154058531,-0.016565433462175594
Calhoun,Florida,2012,181.1,-0.005521811154058531,-0.005521811154058531,-0.005521811154058531,-0.011043622308117063
Calhoun,Florida,2013,181.1,0.005521811154058531,-0.016565433462175594,-0.016565433462175594,-0.011043622308117063
Calhoun,Florida,2014,181.1,-0.016565433462175594,-0.03313086692435119,-0.011043622308117063,-0.022087244616234125
Calhoun,Florida,2015,181.1,0.011043622308117063,-0.016565433462175594,-0.022087244616234125,-0.016565433462175594
Calhoun,Florida,2016,181.1,-0.011043622308117063,-0.005521811154058531,0.011043622308117063,0.016565433462175594
Calhoun,Florida,2017,181.1,-0.011043622308117063,-0.011043622308117063,-0.005521811154058531,-0.011043622308117063
Calhoun,Florida,2018,181.1,-0.011043622308117063,0.0,0.022087244616234125,-0.005521811154058531
Calhoun,Florida,2019,181.1,,,,
Calhoun,Florida,2020,181.1,,,,
Casa Grande,Arizona,2011,195.3,0.0076804915514592925,0.005120327700972862,0.005120327700972862,0.002560163850486431
Casa Grande,Arizona,2012,195.3,0.02560163850486431,0.015360983102918585,0.03072196620583717,-0.002560163850486431
Casa Grande,Arizona,2013,195.3,0.012800819252432155,0.02048131080389145,0.015360983102918585,0.0
Casa Grande,Arizona,2014,195.3,0.015360983102918585,0.015360983102918585,0.02560163850486431,0.02048131080389145
Casa Grande,Arizona,2015,195.3,0.010240655401945725,-0.010240655401945725,-0.015360983102918585,-0.010240655401945725
Casa Grande,Arizona,2016,195.3,0.0,-0.002560163850486431,0.002560163850486431,-0.005120327700972862
Casa Grande,Arizona,2017,195.3,-0.005120327700972862,-0.005120327700972862,-0.002560163850486431,0.02560163850486431
Casa Grande,Arizona,2018,195.3,0.02048131080389145,0.02048131080389145,0.017921146953405017,0.010240655401945725
Casa Grande,Arizona,2019,195.3,,,,
Casa Grande,Arizona,2020,195.3,,,,
Casas Adobes,Arizona,2011,185.0,0.0,0.0,0.0,0.0
