Location,R2,RMSE,AUC_Diff,Pearson
"45,Alabama",0.9809758644879114,0.03713754864435885,-0.019158448869627545,0.9913510118918494
"45,Arkansas",0.9743941890603018,0.040990201192176924,0.02435002186370696,0.9872736465119933
"45,Colorado",0.8805517190430203,0.09858314449536695,0.25493190302623914,0.9654245008294164
"45,Connecticut",0.9620109416477404,0.044097160989717596,0.08602748376463915,0.9841488085201704
"45,District of Columbia",0.967429041093293,0.04636810641323857,-0.015322052221475717,0.9844407480140548
"45,Florida",0.9859246667029317,0.02953803404296638,-0.026163774579882997,0.9940997151833985
"45,Georgia",0.9724393276288426,0.04422516734313693,-0.04520547816768504,0.9897604316957038
"45,Idaho",0.6806136686532736,0.1182599797250464,0.4506808597178873,0.8977582272300009
"45,Illinois",0.9472137446760378,0.05694786664298877,-0.03533948867805903,0.9749634580320744
"45,Indiana",0.9443986239003237,0.05967886699121752,-0.07496702900577916,0.9754504785016215
"45,Iowa",0.9213335013166283,0.07098185354868197,0.07480605489492585,0.9614072038037378
"45,Kansas",0.9446211645266287,0.06195294544514444,0.04821555458416291,0.9731662222443745
"45,Kentucky",0.9396623299649292,0.054824616887605926,-0.12707533842666174,0.9797307901386448
"45,Louisiana",0.9734256679716007,0.044364842464820274,0.02636686911278731,0.9870476609900899
"45,Maine",0.7867384389759927,0.09985862512854327,0.3225148428874382,0.91300999158461
"45,Maryland",0.9685990655510726,0.040266460373041484,-0.01962308909566004,0.9860009705151039
"45,Massachusetts",0.8927284077881094,0.07441433140933663,0.13489855547016,0.9507359236329694
"45,Michigan",0.8854186254851104,0.07222566444300325,-0.03743665981001971,0.954332032672537
"45,Mississippi",0.9795740228435038,0.03719986931341184,0.017641472967355687,0.9898622244058914
"45,Missouri",0.9472976982107522,0.06218828662432895,0.04638156455737054,0.9737403680971416
"45,Montana",0.4918728036812786,0.09166273632552885,0.4686501658977274,0.7203075824184205
"45,Nebraska",0.9373619724303204,0.06048493954755221,0.04109707971616527,0.9685143822614468
"45,Nevada",0.3280128018456234,0.11140764589516079,0.4406917769315567,0.595259806572595
"45,New Hampshire",0.8819438479589226,0.07471339993032708,0.18164135600905024,0.9450956368472286
"45,New Mexico",0.8120611028576392,0.11606770328637023,0.31881380902614304,0.9357663470800751
"45,New York",0.9509598296914145,0.047326739298693604,0.05831616664993508,0.9760876431104655
"45,North Dakota",0.6629657065702443,0.09825466498935001,-0.0023282960960789908,0.8526466267469613
"45,Ohio",0.9415734983927224,0.059593974608284084,-0.003589166766346097,0.9708668279150957
"45,Oklahoma",0.9784042978378181,0.04516306934449906,0.022520647618726786,0.9892730954592412
"45,Oregon",0.48263715418098074,0.1261267813479707,0.603174779192049,0.8506791218683618
"45,Pennsylvania",0.9632676436830522,0.045034816450779676,0.03505720860064109,0.9818871282401377
"45,Rhode Island",0.9306794984659275,0.05344606754413601,0.09545045332981003,0.9681801899818467
"45,South Carolina",0.9756033263670949,0.04057223801227048,-0.011646904943730284,0.9885115003368306
"45,South Dakota",0.8949814749825175,0.0779793234910993,0.20280646889326834,0.9544795486155233
"45,Tennessee",0.970890241724642,0.04553970729369702,-0.05851005885037561,0.9881983447856237
"45,Utah",0.8626523704105672,0.0961735485542626,0.2429893562534021,0.9533326257297292
"45,Vermont",0.7104577251588435,0.11832960192552255,-0.037889388723900845,0.8801944264865675
"45,Virginia",0.9620723542774594,0.04603367062494688,-0.045738370858988756,0.983114129343364
"45,Washington",0.006103036006582907,0.1729872230049061,0.8815235897712361,0.4660129130242936
"45,West Virginia",0.9311810580522332,0.0629067694477217,-0.10958019522980314,0.9777548621658154
"45,Wyoming",0.6526244442553017,0.11302641578087612,0.5156225494058405,0.8950673292165078
