Location,Year,R2,RMSE,AUC_Diff,Pearson
"45,AL",2012,0.9750585544103947,0.04859961340229157,0.09329214301451515,0.992178300900106
"45,AL",2013,0.9704855053871423,0.06767172052216373,-0.053271385197390386,0.9936670367586238
"45,AL",2014,0.9547845780424162,0.06844686987342634,-0.13494596656172525,0.9961354565286167
"45,AL",2015,0.9899452064054259,0.033817711445326575,0.021317757346021784,0.9951006645062545
"45,AL",2016,0.9867981345424547,0.03494052421635747,-0.019611597969567088,0.99468823919246
"45,AL",2017,0.9881139671359243,0.03350642254430024,-0.04780646906011191,0.9969544080605571
"45,AL",2018,0.9851025260856359,0.04491544888508305,-0.03731597554411595,0.9953089976824472
"45,AL",2019,0.9851587759423232,0.04167331946601422,0.0442035305934939,0.9939705213246357
"45,AL",2020,0.9781198604082926,0.04777925480618411,-0.0852157763006694,0.9929591566817819
"45,AR",2012,0.9909120333150871,0.02955151810473344,0.01310093400342428,0.9955120732299463
"45,AR",2013,0.989110986536981,0.03825060394121011,0.011467779933939218,0.9946048653681596
"45,AR",2014,0.9597183033897607,0.06555272213695865,0.12941676552720613,0.988667340489318
"45,AR",2015,0.9643240609980044,0.06705404524348932,0.10174640800499385,0.9908121904116304
"45,AR",2016,0.9867198111673418,0.0320704163284004,0.0007441120586536555,0.993404755195913
"45,AR",2017,0.9928631210820255,0.02939313581312595,0.03335579151545483,0.9971380355908159
"45,AR",2018,0.9513816200819923,0.07665189807927604,-0.047487857002975684,0.9863757997359819
"45,AR",2019,0.9789983204458698,0.0449509424877569,0.04106239791953201,0.990095681083422
"45,AR",2020,0.9671806634545738,0.05677401985993764,-0.08087050053866564,0.9869889867147631
"45,AZ",2012,0.8432376454155037,0.11082891563989637,0.12969780823016533,0.9247450549964924
"45,AZ",2013,0.6132705195354355,0.18642242558549882,0.4951055522929814,0.9499605248288842
"45,AZ",2014,0.8987719440469933,0.09289686454535048,0.21244905926812585,0.9723196327993947
"45,AZ",2015,0.9457629857811868,0.06569463108867521,0.09816495663099142,0.9844953094726334
"45,AZ",2016,0.8368530412172841,0.0986471772329423,0.24347108004800624,0.938300315400761
"45,AZ",2017,0.6858143393815161,0.14942395593252616,0.23217335022298616,0.8469221530706507
"45,AZ",2018,0.8244038079986425,0.11014413248852675,-0.23750838781691233,0.9158661767458592
"45,AZ",2019,0.6900791704254601,0.16811647833880114,0.32823009974254996,0.9050164154514658
"45,AZ",2020,0.9005138811603947,0.10562850873049652,0.11758789947882736,0.9545163275998744
"45,CA",2012,0.9774182347978358,0.05318074324474801,0.0015408909525137485,0.989532471909403
"45,CA",2013,0.9757651511422485,0.050671047962043574,0.06275603017724005,0.9913416153402282
"45,CA",2014,0.946501590204028,0.08217210803310082,0.12862073742592484,0.9777493629680023
"45,CA",2015,0.9660593505727643,0.0691603088939465,0.14353349214224762,0.9935374412870474
"45,CA",2016,0.9785247829313998,0.04625612048578326,0.020093529274128302,0.9893264345617754
"45,CA",2017,0.9716020668719092,0.061107888862717855,-0.02618960563123453,0.9858922059819808
"45,CA",2018,0.9622189683752259,0.0727047824768904,0.04249516120736669,0.982564788157225
"45,CA",2019,0.9705194054935122,0.05612781948863157,0.10360623014770194,0.9883026635678546
"45,CA",2020,0.9066489634542103,0.10988010345663742,0.10313229676453521,0.9560420940072255
"45,CO",2012,0.9392289234043756,0.07095266853808833,0.14464485150916923,0.9848754920002138
"45,CO",2013,0.9117933685121177,0.08151570647526676,0.1734162757090382,0.9746786769390614
"45,CO",2014,0.828249378341356,0.1257721771079285,0.36280370394679945,0.98927144946303
"45,CO",2015,0.854549624794229,0.13465965959314247,0.23615354727669402,0.9390851287153704
"45,CO",2016,0.9305824459142112,0.07795770976651986,0.23510113918633116,0.9882229241237184
"45,CO",2017,0.9345733489849506,0.08091659990319508,0.21669523364723786,0.9955229348810366
"45,CO",2018,0.9187582247804799,0.08687246814943207,0.23513838708338283,0.9913639044474649
"45,CO",2019,0.774314693845151,0.15512573758768222,0.41255024353926123,0.9624753198295805
"45,CO",2020,0.8466538371553265,0.113733185552456,0.22168941240217632,0.9280708285689885
"45,CT",2012,0.9844569909225172,0.03464983702368515,0.07953131365157967,0.9943418443395051
"45,CT",2013,0.9768964007824489,0.04289658349841212,-0.06659384386069846,0.9899330878977834
"45,CT",2014,0.9752776565607117,0.05479862026526457,0.07280235232684579,0.9902443681632231
"45,CT",2015,0.9898789886233582,0.0295528155507524,0.1007061584110139,0.9981466656932625
"45,CT",2016,0.9310723345247304,0.08734122907042545,0.14125566524072625,0.9741050919035705
"45,CT",2017,0.9527691766920761,0.0650338938435594,0.18291754957692186,0.9955187021985997
"45,CT",2018,0.9508163868102653,0.07367881485799639,0.1815584941651147,0.9911861695068932
"45,CT",2019,0.9401093999422836,0.07789573501809345,0.13612428656519923,0.9741872569742736
"45,CT",2020,0.939904335082532,0.06789498332169112,-0.2171470596166831,0.9914095866573382
"45,DC",2012,0.9727949209226573,0.04820902485724134,-0.06811000042343786,0.9925776399544117
"45,DC",2013,0.9502039100315826,0.07096052834628555,0.041033275274092056,0.9753328643743122
"45,DC",2014,0.9794746505626507,0.045651776181529824,-0.0021740350772634135,0.9905590589649915
"45,DC",2015,0.9693536066692058,0.0650853169650847,0.04753957291443735,0.9853092004663135
"45,DC",2016,0.9875928673243584,0.035698581505906164,-0.00964891274538641,0.9939934393451988
"45,DC",2017,0.9105183685612883,0.09759189623339164,-0.2614314729890511,0.9851338511773536
"45,DC",2018,0.9871183927850907,0.03774165453172661,0.0201046082212812,0.9936509319069338
"45,DC",2019,0.9647580857319171,0.057751861499521426,0.08718721858923677,0.9842247217524501
"45,DC",2020,0.9499143728396278,0.07363721370328503,-0.10008026671969392,0.9771629030616189
"45,DE",2012,0.9781799260067886,0.041139641517664395,0.019303355698726304,0.9893418941660499
"45,DE",2013,0.9515904976359245,0.0738974134219425,-0.0017959141797102406,0.9773267450387509
"45,DE",2014,0.9748546720185075,0.04890209896620148,-0.1077142133775971,0.9960337473508294
"45,DE",2015,0.9680848451632573,0.057519442597375826,-0.08575136608132886,0.9927696121468856
"45,DE",2016,0.9828854138965291,0.04301442598125824,-0.014882319718204315,0.9939216429537767
"45,DE",2017,0.9246512030741318,0.08402878940289882,-0.22417824977988415,0.9831655312730451
"45,DE",2018,0.9338928035846027,0.08895366591555552,-0.1917192288177768,0.9934454387387862
"45,DE",2019,0.9844414741030092,0.03829617399539075,-0.008998481038746696,0.9929387222670462
"45,DE",2020,0.9301862585808112,0.08430153757368432,-0.12510477232510483,0.9706631015537567
"45,FL",2012,0.9859097567421309,0.03594432564771857,-0.07049800241102323,0.9984836450259268
"45,FL",2013,0.9887863598765024,0.03729526054134531,-0.053331407654631,0.9965273087854654
"45,FL",2014,0.9767227869408125,0.05102018298124115,-0.04197811714284035,0.99496782563339
"45,FL",2015,0.9941423965771277,0.025196826673710274,-0.015314947619363686,0.9972837340134256
"45,FL",2016,0.9919585712121934,0.02986877350242716,-0.05826557078035904,0.9987092944885229
"45,FL",2017,0.9937844369840915,0.025890683403712235,-0.003927841004147589,0.9971731945949863
"45,FL",2018,0.9887582792646163,0.03927572723965897,-0.05632951919231971,0.997444794721168
"45,FL",2019,0.9515309140972321,0.07599740111043692,0.0768758126334059,0.9778473061492415
"45,FL",2020,0.983263176922376,0.0493400795868397,-0.024718009640618915,0.991805826930187
"45,GA",2012,0.9803801624534683,0.0424188934661524,-0.009529541899082013,0.9910185361702932
"45,GA",2013,0.9660166881831445,0.06462375082543832,-0.12056514789083858,0.992697663338566
"45,GA",2014,0.9778457954266871,0.047262880572748786,0.023876759338216723,0.9893500724637211
"45,GA",2015,0.9696852858467931,0.05635139490311395,-0.060782263803975,0.9921146172663129
"45,GA",2016,0.9859825910865831,0.03543404993372592,-0.01577225497448474,0.9940040828929029
"45,GA",2017,0.9652422655670647,0.05725291600421029,-0.12508399497434997,0.9958326218099142
"45,GA",2018,0.9541090076836791,0.07352746487548753,-0.03414233055025737,0.9824768545879737
"45,GA",2019,0.9839003586082595,0.04139579381650888,0.05038537657635813,0.9927242969988781
"45,GA",2020,0.9629287120784605,0.06917408333012778,-0.11134145938050781,0.988502172868972
"45,IA",2012,0.9417995521993516,0.07196270692151728,0.15186899700111955,0.9782103119034746
"45,IA",2013,0.907418892196844,0.0836303215923101,0.02536795247760469,0.9545777692844492
