Mean_R2,Std_R2,Mean_RMSE,Std_RMSE,Mean_AUC_Diff,Std_AUC_Diff,Mean_Pearson,Std_Pearson,Subset,Model
0.8939978991218256,0.13639623985280755,0.09888590198783238,0.07642057624512134,0.04196288781924607,0.23390418933860696,0.9651349551945294,0.03756603064756267,Test,ff'
0.8916387131591775,0.14904024995092988,0.09794938500590633,0.07467055188334658,0.03740900662621904,0.22370524970232566,0.9636965642097135,0.04492201583112305,Test,ff_2000
0.8825015185577915,0.13732706416669588,0.10420419509491526,0.06838354900596932,0.042626766274183506,0.21283838664613944,0.9615787322141692,0.03666500281566395,Test,ff_hi_lo
0.8960208098445754,0.14331492144936672,0.09714626860741202,0.08262889352291214,0.009970569783210943,0.2682365786348942,0.9653275595808379,0.0378550040310558,Test,ff_hi
0.8863665240043535,0.15405321707730593,0.09937801918387613,0.0768531998035853,-0.025325331411313386,0.22557419283234276,0.9651102258055806,0.03552851170225916,Test,ff_lo
0.8651426859637322,0.14544402267776202,0.11439451860173407,0.07444331652302918,0.08984019579685643,0.23984010833454847,0.9579350262423936,0.04109976798015942,Test,ff
0.9132130015843584,0.14659828547478215,0.08517735025110858,0.0683822111957698,-0.05469801820095355,0.20801463230100772,0.9738907097640314,0.027085538025119805,Test,gru'
0.919989251572945,0.11861840654675541,0.08411922552272018,0.061000352875039535,0.03992871482074825,0.18601309769611482,0.9739199968183553,0.029932004668465864,Test,gru_2000
0.9095038372353519,0.1292127819599226,0.09053965770269037,0.06866271488769907,0.050029437849217345,0.2122175167432777,0.9695143490703582,0.037801893246806315,Test,gru_hi_lo
0.9180568547952103,0.12849381321808917,0.08527401129244154,0.07007713971960708,0.013124593190804938,0.21617494683064445,0.9751798237270727,0.02654827778810302,Test,gru_hi
0.9273035894948963,0.11566755146575917,0.07963230782354937,0.058766714025488026,0.03888955080419238,0.18079800742410546,0.9762930058729,0.03121695477833077,Test,gru_lo
0.9208499388741104,0.1201347769523055,0.08378771171686268,0.07190066303450852,0.036335369682050665,0.2073626087192113,0.9738612921673201,0.030342051779226747,Test,gru
0.4596603548730937,0.32117090548834176,0.28996387785363364,0.24298409179943264,-0.4516474270460459,0.7966202707472989,0.8348691403904404,0.17681465936000298,Test,lr_hi_lo
0.0,0.0,0.4346421286043838,0.08534033438790901,0.9998670401460108,0.0008159884424543442,-0.1503859929658128,0.044172336942180764,Test,lr_hi
0.4857639791650554,0.33970852895787124,0.25987744668602847,0.1960038616925286,0.1788932134539192,0.5880048068827685,0.7840202258135098,0.23153881736311016,Test,lr_lo
0.0,0.0,0.4346469684815944,0.08532920828535068,0.9997462402366417,0.003906896777204092,-0.10265074835370884,0.03664633107201367,Test,lr
0.9085288272651845,0.1297213094786837,0.0901478122793976,0.06524303984891469,0.06027441861021499,0.19667410402709531,0.9702819119243021,0.03553843328929445,Test,lstm'
0.9019388274123236,0.1327207968529781,0.09314199100406066,0.0767000744666109,-0.019463358870111604,0.22056918951526358,0.9683590901671207,0.03819484597591044,Test,lstm_120
0.9173314735013727,0.12707195344659794,0.08504678321334462,0.07200479988564375,0.017294691219170377,0.22146719927046057,0.9733766190050201,0.029777293035802777,Test,lstm_2000
0.8940504352414317,0.15512585954120403,0.09589139989353608,0.07223285508541333,-0.011697339117872805,0.23161112372281994,0.9671538362842518,0.03689751917454444,Test,lstm_hi_lo
0.8956758600180343,0.1439843962149438,0.09637505445541267,0.07880729465558152,0.011843264194157172,0.254938366502558,0.9679567166199755,0.03851336428517595,Test,lstm_hi
0.9068570046713913,0.14202364737199732,0.08820791909019789,0.06765106877201878,0.04372412680124557,0.19001230199200644,0.9681005435701238,0.041635042605918014,Test,lstm_lo
0.9146894432841264,0.11935716234547113,0.08848071472456635,0.07098420429135474,0.03114304284317443,0.2249937419259088,0.973193325705343,0.02938436007606923,Test,lstm
0.8524270575127814,0.25973216505802427,0.2830563230761368,0.7905157596269159,-0.047153166470133234,0.6669512530841539,0.8922155754459252,0.31775660738516315,Val,ff'
