R2,RMSE,AUC_Diff,Pearson,Subset,Model
0.9691784691685894,0.022668879738441644,0.04213396344413635,0.9850074339289838,Test,ff'
0.9646410411002707,0.024280224079595694,0.05887548408943121,0.9830201369682856,Test,ff_2000
0.9647583555912888,0.024239911966619204,0.03389539214064942,0.9826799592892237,Test,ff_hi_lo
0.9691229790314085,0.02268927673934984,0.03435786899019535,0.9846222219588202,Test,ff_hi
0.9642306274468153,0.024420728586507907,0.0038524888550162443,0.9821001251774801,Test,ff_lo
0.9590475716567163,0.02613020310245074,0.06518542344159642,0.9805814591368918,Test,ff
0.9762997897835592,0.01987829150009992,0.00873915185250953,0.9886255648219996,Test,gru'
0.9749081013483327,0.0204535981052288,0.059461773160268766,0.9882145647653593,Test,gru_2000
0.9753778837799547,0.02026122242948006,0.041179710573862896,0.9879223889287335,Test,gru_hi_lo
0.9768483946079393,0.019646876337340007,0.021418172279265763,0.9884273238379179,Test,gru_hi
0.9784808701750326,0.018941541012721396,0.03878664978711274,0.9894040989400134,Test,gru_lo
0.9772646143332163,0.0194694695250264,0.04392619915375481,0.9889697923874456,Test,gru
0.7425546118651725,0.06551571937120919,-0.15242234632029725,0.8656476056053973,Test,lr_hi_lo
0,0.14672992688579553,0.9999259517048413,-0.02120372498247501,Test,lr_hi
0.7706183160831833,0.061841828800242526,0.18623839534406533,0.8872514773028313,Test,lr_lo
0,0.14672991152791504,0.9999679392893661,-0.010734591608034375,Test,lr
0.9706749555668615,0.02211170823810499,0.05318340201167761,0.9856727694218198,Test,lstm'
0.9661167020630523,0.023593420058521306,0.026919910068331727,0.9833256768374736,Test,lstm_120
0.9715297992813994,0.021787039477590187,0.0452320754866412,0.986431558273244,Test,lstm_2000
0.9679216441858146,0.023126451810085484,0.03265502797404485,0.9846990918127156,Test,lstm_hi_lo
0.9681160563031843,0.023056265929128364,0.022849740933381817,0.9842827271343384,Test,lstm_hi
0.9702767207594282,0.022261340712382362,0.0556514016332969,0.9856175609753054,Test,lstm_lo
0.9714548014813881,0.02181571692493693,0.0532595287008321,0.9864443103484807,Test,lstm
0.9562609805657957,0.022749557475158163,0.035037371173260265,0.9784176640776876,Val,ff'
0.9561503669919376,0.02277830550073789,0.02961953000877548,0.9782050019981673,Val,ff_2000
0.95039486260505,0.024227118320756778,0.022614750424143047,0.9749592047256621,Val,ff_hi_lo
0.9528812924240814,0.02361212734041932,-0.002328953245924952,0.9762521679805742,Val,ff_hi
0.9487311260746689,0.024630051573599564,-0.0160875808386728,0.974097418890879,Val,ff_lo
0.9472216763977435,0.02498999836416378,0.06932337339850674,0.9739656289761647,Val,ff
0.9654219745291753,0.02022732846236415,-0.01155984417530851,0.9827244851969164,Val,gru'
0.9666384434796073,0.019868340047594732,0.03144909260648262,0.9839522802427471,Val,gru_2000
0.9623994100898088,0.021092874136286233,0.043553310231856115,0.9813808118472704,Val,gru_hi_lo
0.9674285732527381,0.01963165092797316,0.012191133280415512,0.9836534617661616,Val,gru_hi
0.9698625550940262,0.0188838980289485,0.03261705194830388,0.9849819723135038,Val,gru_lo
0.9642055641643006,0.02058003896953824,0.017766590401084508,0.9820060995831018,Val,gru
0.6910528638645618,0.06046172293150494,-0.17027827354409744,0.8420726558061145,Val,lr_hi_lo
0,0.12229563309258365,0.9999998745738117,-0.00748016000146891,Val,lr_hi
0.7332178491904613,0.05618453833711356,0.1716106699291639,0.8608109905332526,Val,lr_lo
0,0.12229563309263093,1.0,nan,Val,lr
0.958739865647299,0.022095495783227698,0.047880863529761244,0.9795031117297865,Val,lstm'
0.9649156541687031,0.02069100597271009,0.012739083265027078,0.9824040901430797,Val,lstm_120
0.9584159764852472,0.022182050299980872,0.01759749063998976,0.9793008490712971,Val,lstm_2000
0.9555065544882081,0.02294491488513265,0.009073381623279121,0.9779142742573077,Val,lstm_hi_lo
0.9617185851193254,0.02128297928619749,0.0061610586184385,0.9807061531582452,Val,lstm_hi
0.9623015775326429,0.02112029696752676,0.047671469330724366,0.9812822634233231,Val,lstm_lo
0.9619235288237564,0.021225932463760068,0.031040071468919544,0.981262913009517,Val,lstm
0.98733770908859,0.012376758567519743,0.024526702867337418,0.993739103438307,Train,ff'
0.9889164452851081,0.011579513423587163,0.001725499373898602,0.9944749947422308,Train,ff_2000
0.9843824214439709,0.013745407681203888,0.006988341724995709,0.9923168564799772,Train,ff_hi_lo
0.9876577663711058,0.012219337415660036,-0.0053366093033599986,0.99385591690422,Train,ff_hi
0.9868611969834973,0.01260749128174004,-0.03268445216816874,0.9943842083010875,Train,ff_lo
0.9675482524719767,0.019813893303670244,0.06412406913893583,0.9842046415177506,Train,ff
0.9867628659728634,0.012654580674112034,-0.023539513427941715,0.9934866004997959,Train,gru'
0.9892691701328693,0.011393769530222784,0.019455465462261186,0.9948420728887528,Train,gru_2000
0.9855566824672086,0.013218563308014797,0.012559726083213764,0.9930933572034546,Train,gru_hi_lo
0.9882820973109855,0.011906269792185247,-0.022412923991731445,0.9946401966812988,Train,gru_hi
0.9896594270873352,0.011184667462100012,0.0010841023111833354,0.9950058960618925,Train,gru_lo
0.9918668002674575,0.009919310718922969,-0.004941397553545875,0.9961530680511914,Train,gru
0.7304937327185197,0.057099881934749706,-0.16017675021117772,0.8597578399777369,Train,lr_hi_lo
0,0.12395004818770462,0.9999988030876118,-0.006464565356954552,Train,lr_hi
0.757927395043993,0.05411573950767437,0.1787053503026627,0.8768942920569063,Train,lr_lo
0,0.12395005772085642,0.999989906016817,-0.006127036206444457,Train,lr
