Location,Year,R2,RMSE,AUC_Diff,Pearson,Model,Subset
"Avondale,Arizona",2012.0,0.7866048295716676,0.14296906274848606,-0.16459741343368225,0.9036338122903154,FF',Test
"Avondale,Arizona",2013.0,0.898333183606319,0.10357132720333405,0.16574765562113256,0.9684368559322593,FF',Test
"Avondale,Arizona",2014.0,0.9294072898217292,0.10272092165943916,0.17442997799520768,0.9838148138082253,FF',Test
"Avondale,Arizona",2015.0,0.9130351305133301,0.10871391927702585,0.03412045472589652,0.9637689599135965,FF',Test
"Avondale,Arizona",2016.0,0.8271043137898461,0.12106472542661925,0.09900334950961004,0.9128128509806955,FF',Test
"Avondale,Arizona",2017.0,0.9803377506352234,0.05129189133543861,0.0037104344502526137,0.9901261988492311,FF',Test
"Avondale,Arizona",2018.0,0.8441859248519195,0.12598509166000837,-0.24343797050090576,0.9550877554962338,FF',Test
"Avondale,Arizona",2019.0,0.8487521081169912,0.1264037870796716,-0.23463223108101977,0.9645311321641169,FF',Test
"Avondale,Arizona",2020.0,0.7190911019409866,0.16575469319074201,0.17525318146696192,0.8663999089030471,FF',Test
"Butte,California",2012.0,0.9345592847026518,0.08035552715731678,0.18044325570899825,0.9855770821018565,FF',Test
"Butte,California",2013.0,0.968589166855751,0.057840661743152534,0.08200591696420581,0.9898583671299588,FF',Test
"Butte,California",2014.0,0.9282798094011938,0.0889360371205632,0.18002943018390377,0.9776395622822266,FF',Test
"Butte,California",2015.0,0.9250589889081526,0.09189812864137697,0.13639644786640664,0.9752985487375373,FF',Test
"Butte,California",2016.0,0.9108063398282625,0.09692857640462282,0.1974793290438288,0.9652172200955637,FF',Test
"Butte,California",2017.0,0.9034442327230923,0.10381628929441823,0.2137972703951875,0.972471845358253,FF',Test
"Butte,California",2018.0,0.9387601483233107,0.08606841204536267,0.07896817326301028,0.971188521048645,FF',Test
"Butte,California",2019.0,0.9288082537313315,0.09694024365528278,0.1957757573968774,0.9820880948816152,FF',Test
"Butte,California",2020.0,0.8126501219968257,0.1358764600713994,-0.05807319582002271,0.9031138605199506,FF',Test
"Cameron,Texas",2012.0,0.9782279929356671,0.04442841666190282,-0.04355419828643138,0.9909388296877857,FF',Test
"Cameron,Texas",2013.0,0.946691864081726,0.07901237946858344,0.0716873790444992,0.9816703067296014,FF',Test
"Cameron,Texas",2014.0,0.8927824507098497,0.09644709232365162,0.045146433976422415,0.9539151314576567,FF',Test
"Cameron,Texas",2015.0,0.9334051528637208,0.0754276040307201,0.07604601731324559,0.9723714553268374,FF',Test
"Cameron,Texas",2016.0,0.9137598013568266,0.08225340923469979,0.10956884758265896,0.9659410306224121,FF',Test
"Cameron,Texas",2017.0,0.9340095138066425,0.07488853747293837,0.10539421278769469,0.977176003161866,FF',Test
"Cameron,Texas",2018.0,0.9658428521867747,0.06731391058800548,0.02595995734374409,0.9831691831123508,FF',Test
"Cameron,Texas",2019.0,0.9503808023810587,0.06425668208392259,0.06261059928501982,0.9801738639608866,FF',Test
"Cameron,Texas",2020.0,0.9308871600959865,0.08743322745267695,0.08530664433875208,0.9694491981196584,FF',Test
"Collier,Florida",2012.0,0.907004831186217,0.09126914047382291,0.003917794113356153,0.9828720523817103,FF',Test
"Collier,Florida",2013.0,0.8637261221337795,0.11138225128637186,0.002424627183249955,0.9498846004949691,FF',Test
"Collier,Florida",2014.0,0.9487635018010245,0.06707752155816378,0.010260745236569597,0.9855253639226104,FF',Test
"Collier,Florida",2015.0,0.9286969156031399,0.0823151540422582,-0.03820483612604495,0.9852411589663359,FF',Test
"Collier,Florida",2016.0,0.8986287038749456,0.10273689130638947,-0.03607130816067984,0.9833530380089115,FF',Test
"Collier,Florida",2017.0,0.9464524007514199,0.08076762421161499,0.03967991628901775,0.9751781531011119,FF',Test
"Collier,Florida",2018.0,0.8344773458048714,0.11115569184351806,-0.02298200715883479,0.9734663430976924,FF',Test
"Collier,Florida",2019.0,0.9128828078670389,0.09482172604009034,0.015624235848182528,0.9712596903591633,FF',Test
"Collier,Florida",2020.0,0.9106713158512849,0.08359559081641213,0.03392382858790652,0.961544826727929,FF',Test
"Colusa,California",2012.0,0.9763423670536915,0.04909224757008571,0.053633503622416236,0.9898171821017857,FF',Test
"Colusa,California",2013.0,0.9552537811568909,0.07461820734433917,0.07955443599463095,0.9811275290286224,FF',Test
"Colusa,California",2014.0,0.9484462858543666,0.07743913824786061,0.18391258911477915,0.9861044588568579,FF',Test
"Colusa,California",2015.0,0.9706372636691436,0.06033750274879326,0.06863505989859223,0.9893722333058441,FF',Test
"Colusa,California",2016.0,0.9799539648217587,0.045518909004873175,0.0917219671005494,0.9931512373526585,FF',Test
"Colusa,California",2017.0,0.9717271210644461,0.05996824435558464,0.08638309861155447,0.9902708225335781,FF',Test
"Colusa,California",2018.0,0.9406404614480536,0.08915692749210397,0.04623441115454159,0.9704292281785833,FF',Test
"Colusa,California",2019.0,0.8795514510918886,0.12198834391019783,0.1069720762210319,0.9449691257474588,FF',Test
"Colusa,California",2020.0,0.8241048021444916,0.13347467357357115,0.0008593275845723227,0.9087951957842987,FF',Test
"Eloy,Arizona",2012.0,0.7029999078328193,0.20802515902876798,0.05475327386960615,0.849946359206252,FF',Test
"Eloy,Arizona",2013.0,0.8331990503693567,0.16450831628696208,0.28921735291063716,0.9741030839305134,FF',Test
"Eloy,Arizona",2014.0,0.9050869843631647,0.1216679818008655,0.18893387890833818,0.9840841071497949,FF',Test
"Eloy,Arizona",2015.0,0.853252703927446,0.15203680902746153,0.1477096475437918,0.9414691549738956,FF',Test
