County,Year,R2,RMSE,AUC_Diff,Pearson,Model,Subset
"Avondale,Arizona",2012.0,0.8393709615004091,0.12404001408399225,0.16019958174470972,0.923481909694807,FF_DPO,Test
"Avondale,Arizona",2013.0,0.2558943136792404,0.28019942586059915,0.5502570397717756,0.7398039831120817,FF_DPO,Test
"Avondale,Arizona",2014.0,0.5787060993201415,0.25094096599787435,0.38878971159753595,0.8643227877190299,FF_DPO,Test
"Avondale,Arizona",2015.0,0.7518934943387063,0.18362520947099692,0.17914798111261224,0.8941646568233175,FF_DPO,Test
"Avondale,Arizona",2016.0,0.6732847486383232,0.1664218121417467,0.4607624546770996,0.9515205093316356,FF_DPO,Test
"Avondale,Arizona",2017.0,0.8788724427246742,0.1273073837549398,0.18256967945565605,0.9571425546353465,FF_DPO,Test
"Avondale,Arizona",2018.0,0.5951517004498359,0.20307757695185719,0.32365741374376544,0.8074553782270124,FF_DPO,Test
"Avondale,Arizona",2019.0,0.5588556855709002,0.21587669661237177,0.35034039545817347,0.8071546622852918,FF_DPO,Test
"Avondale,Arizona",2020.0,0.5226146138559842,0.21608152981223147,0.2991106629400829,0.7845519521899913,FF_DPO,Test
"Butte,California",2012.0,0.9145558403569003,0.09181907791133015,0.1918540069789832,0.9719471800958712,FF_DPO,Test
"Butte,California",2013.0,0.9586099415040207,0.0663959432664209,0.019437297021128307,0.9813365285304034,FF_DPO,Test
"Butte,California",2014.0,0.9801783664893647,0.04675486177786076,0.06409248868917738,0.9919040021345649,FF_DPO,Test
"Butte,California",2015.0,0.9504980869787628,0.07468921329522825,0.036046619666112986,0.9768504417163753,FF_DPO,Test
"Butte,California",2016.0,0.9622078565852251,0.06309364287283328,0.07078862214781755,0.9822914915522705,FF_DPO,Test
"Butte,California",2017.0,0.9194268368922153,0.09483564424861081,0.2156727665882591,0.9889084767230936,FF_DPO,Test
"Butte,California",2018.0,0.8320870259172382,0.1425177155192307,0.20142719617604718,0.954450722241753,FF_DPO,Test
"Butte,California",2019.0,0.7232434596641841,0.19113412402005442,0.4078980088271937,0.9464376900944282,FF_DPO,Test
"Butte,California",2020.0,0.712222460239597,0.16840150337606924,-0.03458241252149372,0.8442495990132143,FF_DPO,Test
"Cameron,Texas",2012.0,0.8267681334844073,0.12532147427654963,0.1791167362206533,0.9649590892002129,FF_DPO,Test
"Cameron,Texas",2013.0,0.8870353394586732,0.11501902808004037,0.17465228991125728,0.9787475176920086,FF_DPO,Test
"Cameron,Texas",2014.0,0.7588972988765323,0.14462961794693874,0.23420286316885244,0.9431876816587332,FF_DPO,Test
"Cameron,Texas",2015.0,0.7871598062165872,0.1348456130793299,0.20672439290183633,0.9569483939829947,FF_DPO,Test
"Cameron,Texas",2016.0,0.8352062863689522,0.11370232724421488,0.2287956242518774,0.9757148308021691,FF_DPO,Test
"Cameron,Texas",2017.0,0.8076429337362463,0.12785825046649651,0.20668483235991228,0.9665773466929801,FF_DPO,Test
"Cameron,Texas",2018.0,0.8066640926996635,0.16014754386280583,0.2364090501046678,0.9714526431817205,FF_DPO,Test
"Cameron,Texas",2019.0,0.8285437457480138,0.11944558288090075,0.15257008869955516,0.9442079241635056,FF_DPO,Test
"Cameron,Texas",2020.0,0.8758312200842193,0.11719345215045965,0.19513389070370982,0.9740944106152905,FF_DPO,Test
"Collier,Florida",2012.0,0.9580373858537099,0.06130911326617857,0.020445118216919078,0.9823161974147612,FF_DPO,Test
"Collier,Florida",2013.0,0.8730408719035381,0.10750821472053099,0.019003455979497666,0.9383813832713332,FF_DPO,Test
"Collier,Florida",2014.0,0.9482850970783164,0.06738995160182185,0.03674467662463599,0.9755211995000982,FF_DPO,Test
"Collier,Florida",2015.0,0.9523771555292558,0.06727183942004597,0.01565876189210705,0.9770879070719101,FF_DPO,Test
"Collier,Florida",2016.0,0.9506229696469832,0.07170202219316724,-0.014052727822535997,0.9762132464847699,FF_DPO,Test
"Collier,Florida",2017.0,0.9113492928147292,0.1039222182306373,0.08617339632614443,0.9702492153529741,FF_DPO,Test
"Collier,Florida",2018.0,0.9224932415246754,0.07606288122341118,0.01135652742328613,0.9664182455496194,FF_DPO,Test
"Collier,Florida",2019.0,0.8905737661845784,0.10627146019942019,0.07976530789020891,0.958929592889191,FF_DPO,Test
"Collier,Florida",2020.0,0.9000856894078377,0.08841007341977179,0.079617843228031,0.9597458855850348,FF_DPO,Test
"Colusa,California",2012.0,0.9316209651806819,0.08346199360060476,0.12065483260838734,0.9696456087137726,FF_DPO,Test
"Colusa,California",2013.0,0.9696673457365093,0.06143584662415415,0.05021650843175196,0.9871029697022276,FF_DPO,Test
"Colusa,California",2014.0,0.9610749648844159,0.06728914939321891,0.07906159377148633,0.9818591143355029,FF_DPO,Test
"Colusa,California",2015.0,0.9350863377098338,0.08971336049916488,-0.052347137164856235,0.9707611162778043,FF_DPO,Test
"Colusa,California",2016.0,0.9701565080710951,0.05553955799508534,-0.06319343235780082,0.9874540143492181,FF_DPO,Test
"Colusa,California",2017.0,0.8455850049597502,0.1401461119349278,0.14662340181800962,0.9285898513268274,FF_DPO,Test
"Colusa,California",2018.0,0.7182703853601519,0.19423437211621372,0.24675462356228414,0.8871983812111286,FF_DPO,Test
"Colusa,California",2019.0,0.7479631978555541,0.17646132245633492,0.26020719686042637,0.8893129972782613,FF_DPO,Test
"Colusa,California",2020.0,0.7228157913823899,0.16755450853602608,0.03156563027848301,0.8506671289166207,FF_DPO,Test
"Eloy,Arizona",2012.0,0.27774536865914545,0.32440141383624715,0.45386321319052875,0.6894571454999237,FF_DPO,Test
